sr.no,Name of Product,Name of Ingredients,Brand,Category,Ingredients Details,Ingredient Type,Is Harmful,Reason for Harm,Daily Limit,Suitable for Kids,Suitable for Teens,Suitable for Elderly,Nutritional Impact,Healthy Alternatives,Alternative Description,Translation Availability,Harmful Ingredient Count,Total Ingredients,Country of Manufacture,Expiration Date
308,McCain French Fries,Milk,Coca-Cola,Beverages,"Flour, Butter, Sugar",Carbohydrate,No,High Sodium,200g per day,No,Yes (Occasional),Yes (Occasional),Rich in fat and carbohydrates,Dark Chocolate,Healthy and natural alternatives,English,1,3,Mexico,5 days from packing
309,Cadbury Dairy Milk,Potatoes,Britannia,Beverages,"Milk, Sugar, Culture",Protein,Yes,High Sodium,100g per day,Yes,Yes,No,Provides energy but may contribute to weight gain,Dark Chocolate,Healthy and natural alternatives,English,2,3,Australia,7 days from packing
310,McCain French Fries,Flour,Haldiram's,Confectionery,"Potatoes, Vegetable Oil, Salt",Additive,No,Chemical Additives,100g per day,Yes,Yes,Limited,Sweet treat with high sugar content,Homemade Snacks,Healthy and natural alternatives,English,1,3,USA,14 days from packing
311,McCain French Fries,Milk,Lay's,Beverages,"Carbonated Water, Sugar",Fat,Yes,High Sodium,200g per day,Limited,Limited,Limited,Provides energy but may contribute to weight gain,Organic Yogurt,Healthy and natural alternatives,English,1,2,India,7 days from packing
312,Coca-Cola Classic,Carbonated Water,Haldiram's,Dairy Products,"Milk, Sugar, Culture",Dairy,Yes,Chemical Additives,200g per day,Limited,No,Yes,High sugar content with quick energy boost,Organic Yogurt,Healthy and natural alternatives,English,2,3,Australia,7 days from packing
313,Britannia Biscuits,Milk,Amul,Confectionery,"Potatoes, Vegetable Oil, Salt",Protein,No,High Sodium,As Desired,No,Limited,No,Source of fiber and moderate sugar,Homemade Snacks,Healthy and natural alternatives,English,1,3,USA,7 days from packing
314,Lay's Chips,Milk Chocolate,Nestle,Frozen Foods,"Potatoes, Oil, Salt",Carbohydrate,No,Chemical Additives,Moderate Intake,Yes,Limited,Yes (Occasional),Sweet treat with high sugar content,Homemade Snacks,Healthy and natural alternatives,English,0,3,Mexico,14 days from packing
315,Lay's Chips,Potatoes,Nestle,Dairy Products,"Potatoes, Oil, Salt",Additive,Yes,None,As Desired,Yes (Occasional),Limited,Yes (Occasional),Sweet treat with high sugar content,Baked Fries,Healthy and natural alternatives,English,2,3,Australia,7 days from packing
316,Lay's Chips,Potatoes,Coca-Cola,Dairy Products,"Potatoes, Vegetable Oil, Salt",Dairy,Yes,None,As Desired,Limited,No,Yes,Provides energy but may contribute to weight gain,Homemade Snacks,Healthy and natural alternatives,English,0,3,Australia,14 days from packing
317,Britannia Biscuits,Flour,Haldiram's,Frozen Foods,"Flour, Butter, Sugar",Dairy,Yes,Chemical Additives,As Desired,Yes,Yes,Yes,High sugar content with quick energy boost,Whole-grain Biscuits,Healthy and natural alternatives,English,0,3,India,5 days from packing
318,Coca-Cola Classic,Milk,Britannia,Snacks,"Carbonated Water, Sugar",Carbohydrate,No,Chemical Additives,Moderate Intake,Limited,Limited,Yes,Sweet treat with high sugar content,Sugar-free Drinks,Healthy and natural alternatives,English,0,2,Canada,5 days from packing
319,Cadbury Dairy Milk,Milk,Britannia,Dairy Products,"Potatoes, Oil, Salt",Additive,Yes,High Sodium,As Desired,No,Yes (Occasional),Yes,Source of fiber and moderate sugar,Whole-grain Biscuits,Healthy and natural alternatives,English,2,3,Canada,7 days from packing
320,Epigamia Greek Yogurt,Potatoes,Britannia,Confectionery,"Milk Chocolate, Sugar",Protein,Yes,Allergen Content,100g per day,No,Yes (Occasional),No,Sweet treat with high sugar content,Sugar-free Drinks,Healthy and natural alternatives,English,1,2,USA,5 days from packing
321,McCain French Fries,Milk,Lay's,Confectionery,"Flour, Butter, Sugar",Carbohydrate,No,None,200g per day,Yes,Limited,Yes,High in calcium and protein,Baked Fries,Healthy and natural alternatives,English,1,3,India,14 days from packing
322,Epigamia Greek Yogurt,Flour,Haldiram's,Snacks,"Milk Chocolate, Sugar",Sweetener,No,Allergen Content,100g per day,Yes,Limited,No,High sugar content with quick energy boost,Dark Chocolate,Healthy and natural alternatives,English,1,2,Mexico,14 days from packing
323,Britannia Biscuits,Potatoes,Nestle,Frozen Foods,"Milk, Sugar, Culture",Protein,No,Chemical Additives,100g per day,Yes,No,Yes (Occasional),Sweet treat with high sugar content,Baked Fries,Healthy and natural alternatives,English,1,3,USA,5 days from packing
324,Britannia Biscuits,Carbonated Water,Coca-Cola,Dairy Products,"Potatoes, Vegetable Oil, Salt",Fat,Yes,Chemical Additives,100g per day,No,No,Yes (Occasional),Sweet treat with high sugar content,Organic Yogurt,Healthy and natural alternatives,English,2,3,Canada,7 days from packing
325,Cadbury Dairy Milk,Carbonated Water,Amul,Snacks,"Flour, Butter, Sugar",Protein,No,Chemical Additives,Moderate Intake,Limited,No,No,Sweet treat with high sugar content,Whole-grain Biscuits,Healthy and natural alternatives,English,2,3,Australia,14 days from packing
326,Lay's Chips,Carbonated Water,Nestle,Confectionery,"Carbonated Water, Sugar",Protein,No,Allergen Content,As Desired,Limited,Yes,Limited,High in calcium and protein,Baked Fries,Healthy and natural alternatives,English,1,2,Mexico,14 days from packing
327,Britannia Biscuits,Milk,Nestle,Dairy Products,"Flour, Butter, Sugar",Carbohydrate,No,Allergen Content,Moderate Intake,Yes,No,Yes,High sugar content with quick energy boost,Homemade Snacks,Healthy and natural alternatives,English,2,3,Mexico,7 days from packing
328,Lay's Chips,Milk Chocolate,Lay's,Beverages,"Milk, Sugar, Culture",Dairy,Yes,High Sodium,100g per day,Yes,Limited,Limited,Source of fiber and moderate sugar,Whole-grain Biscuits,Healthy and natural alternatives,English,1,3,Australia,14 days from packing
329,McCain French Fries,Flour,Britannia,Snacks,"Potatoes, Oil, Salt",Sweetener,No,Chemical Additives,As Desired,Yes,Yes (Occasional),Yes,High in calcium and protein,Whole-grain Biscuits,Healthy and natural alternatives,English,1,3,Canada,5 days from packing
330,Epigamia Greek Yogurt,Milk,Lay's,Beverages,"Potatoes, Oil, Salt",Protein,No,None,100g per day,Yes (Occasional),No,Limited,Source of fiber and moderate sugar,Baked Fries,Healthy and natural alternatives,English,2,3,Australia,14 days from packing
331,Cadbury Dairy Milk,Potatoes,Haldiram's,Snacks,"Potatoes, Vegetable Oil, Salt",Protein,No,Chemical Additives,As Desired,No,No,Limited,High sugar content with quick energy boost,Dark Chocolate,Healthy and natural alternatives,English,1,3,Canada,5 days from packing
332,McCain French Fries,Milk Chocolate,Amul,Beverages,"Flour, Butter, Sugar",Protein,Yes,None,As Desired,No,Yes (Occasional),Yes (Occasional),High in calcium and protein,Dark Chocolate,Healthy and natural alternatives,English,2,3,Canada,5 days from packing
333,McCain French Fries,Potatoes,Amul,Snacks,"Flour, Butter, Sugar",Dairy,No,None,200g per day,No,No,Yes (Occasional),Provides energy but may contribute to weight gain,Homemade Snacks,Healthy and natural alternatives,English,2,3,India,5 days from packing
334,Coca-Cola Classic,Flour,Nestle,Confectionery,"Potatoes, Vegetable Oil, Salt",Sweetener,Yes,None,As Desired,Yes (Occasional),Yes (Occasional),Limited,Sweet treat with high sugar content,Sugar-free Drinks,Healthy and natural alternatives,English,0,3,Canada,14 days from packing
335,Britannia Biscuits,Potatoes,Lay's,Snacks,"Carbonated Water, Sugar",Protein,No,Chemical Additives,200g per day,No,No,No,Sweet treat with high sugar content,Whole-grain Biscuits,Healthy and natural alternatives,English,0,2,Mexico,7 days from packing
336,Cadbury Dairy Milk,Milk,Coca-Cola,Confectionery,"Carbonated Water, Sugar",Fat,Yes,None,100g per day,Yes (Occasional),Yes (Occasional),Limited,High in calcium and protein,Whole-grain Biscuits,Healthy and natural alternatives,English,1,2,Canada,7 days from packing
337,McCain French Fries,Carbonated Water,Britannia,Dairy Products,"Milk Chocolate, Sugar",Dairy,Yes,Allergen Content,100g per day,Yes,No,Limited,Rich in fat and carbohydrates,Dark Chocolate,Healthy and natural alternatives,English,2,2,Canada,5 days from packing
338,Lay's Chips,Milk Chocolate,Lay's,Beverages,"Flour, Butter, Sugar",Carbohydrate,Yes,Allergen Content,100g per day,Yes (Occasional),No,Yes,High sugar content with quick energy boost,Dark Chocolate,Healthy and natural alternatives,English,1,3,India,14 days from packing
339,Coca-Cola Classic,Milk,Coca-Cola,Snacks,"Potatoes, Vegetable Oil, Salt",Fat,No,None,200g per day,Limited,No,Yes,Sweet treat with high sugar content,Sugar-free Drinks,Healthy and natural alternatives,English,0,3,India,7 days from packing
340,Lay's Chips,Milk Chocolate,Haldiram's,Frozen Foods,"Milk Chocolate, Sugar",Additive,Yes,Chemical Additives,100g per day,Yes (Occasional),No,Limited,Provides energy but may contribute to weight gain,Dark Chocolate,Healthy and natural alternatives,English,1,2,Canada,14 days from packing
341,Cadbury Dairy Milk,Potatoes,Nestle,Frozen Foods,"Milk, Sugar, Culture",Dairy,No,High Sodium,Moderate Intake,No,No,Limited,High sugar content with quick energy boost,Baked Fries,Healthy and natural alternatives,English,1,3,USA,5 days from packing
342,Coca-Cola Classic,Potatoes,Lay's,Frozen Foods,"Carbonated Water, Sugar",Dairy,Yes,Allergen Content,100g per day,No,Limited,No,Rich in fat and carbohydrates,Baked Fries,Healthy and natural alternatives,English,1,2,Canada,7 days from packing
343,Coca-Cola Classic,Milk,Britannia,Beverages,"Potatoes, Vegetable Oil, Salt",Carbohydrate,Yes,None,As Desired,Yes (Occasional),Yes,No,Source of fiber and moderate sugar,Whole-grain Biscuits,Healthy and natural alternatives,English,1,3,Mexico,7 days from packing
344,Lay's Chips,Milk,Nestle,Frozen Foods,"Carbonated Water, Sugar",Sweetener,Yes,Chemical Additives,Moderate Intake,Yes (Occasional),Yes (Occasional),Limited,Rich in fat and carbohydrates,Dark Chocolate,Healthy and natural alternatives,English,2,2,Mexico,14 days from packing
345,Britannia Biscuits,Carbonated Water,Britannia,Frozen Foods,"Potatoes, Vegetable Oil, Salt",Sweetener,Yes,High Sodium,100g per day,Yes (Occasional),Limited,Yes,Sweet treat with high sugar content,Whole-grain Biscuits,Healthy and natural alternatives,English,1,3,India,5 days from packing
346,Britannia Biscuits,Milk,Lay's,Snacks,"Milk Chocolate, Sugar",Carbohydrate,Yes,None,100g per day,Yes,Yes,No,Rich in fat and carbohydrates,Organic Yogurt,Healthy and natural alternatives,English,0,2,USA,5 days from packing
347,Coca-Cola Classic,Milk,Haldiram's,Beverages,"Carbonated Water, Sugar",Sweetener,Yes,Chemical Additives,Moderate Intake,Yes,No,Limited,Source of fiber and moderate sugar,Baked Fries,Healthy and natural alternatives,English,1,2,Australia,5 days from packing
348,Epigamia Greek Yogurt,Milk Chocolate,Nestle,Snacks,"Milk Chocolate, Sugar",Sweetener,No,Allergen Content,200g per day,No,Limited,No,Rich in fat and carbohydrates,Homemade Snacks,Healthy and natural alternatives,English,1,2,Mexico,5 days from packing
349,Lay's Chips,Potatoes,Nestle,Beverages,"Potatoes, Oil, Salt",Dairy,No,High Sodium,200g per day,No,Yes (Occasional),No,Provides energy but may contribute to weight gain,Organic Yogurt,Healthy and natural alternatives,English,1,3,Mexico,5 days from packing
350,Britannia Biscuits,Milk,Lay's,Dairy Products,"Flour, Butter, Sugar",Protein,Yes,Allergen Content,200g per day,Limited,Yes,Yes,Provides energy but may contribute to weight gain,Dark Chocolate,Healthy and natural alternatives,English,1,3,Australia,14 days from packing
351,Cadbury Dairy Milk,Potatoes,Amul,Frozen Foods,"Potatoes, Oil, Salt",Sweetener,No,None,200g per day,Yes,No,Limited,Rich in fat and carbohydrates,Homemade Snacks,Healthy and natural alternatives,English,2,3,India,14 days from packing
352,McCain French Fries,Milk Chocolate,Amul,Frozen Foods,"Flour, Butter, Sugar",Sweetener,Yes,High Sodium,Moderate Intake,No,Limited,No,Rich in fat and carbohydrates,Organic Yogurt,Healthy and natural alternatives,English,0,3,India,5 days from packing
353,Britannia Biscuits,Milk Chocolate,Haldiram's,Snacks,"Milk Chocolate, Sugar",Dairy,No,High Sodium,Moderate Intake,Limited,No,Yes,High in calcium and protein,Organic Yogurt,Healthy and natural alternatives,English,2,2,Canada,7 days from packing
354,McCain French Fries,Milk,Britannia,Dairy Products,"Milk Chocolate, Sugar",Dairy,Yes,Chemical Additives,200g per day,Yes,Yes (Occasional),Limited,Sweet treat with high sugar content,Baked Fries,Healthy and natural alternatives,English,2,2,Canada,7 days from packing
355,Coca-Cola Classic,Milk,Coca-Cola,Dairy Products,"Potatoes, Oil, Salt",Carbohydrate,Yes,Allergen Content,200g per day,Yes (Occasional),Yes,No,High sugar content with quick energy boost,Organic Yogurt,Healthy and natural alternatives,English,1,3,Canada,7 days from packing
356,Cadbury Dairy Milk,Carbonated Water,Haldiram's,Snacks,"Flour, Butter, Sugar",Sweetener,Yes,Allergen Content,200g per day,Yes (Occasional),No,Yes (Occasional),Provides energy but may contribute to weight gain,Baked Fries,Healthy and natural alternatives,English,2,3,India,5 days from packing
357,Epigamia Greek Yogurt,Flour,Lay's,Frozen Foods,"Potatoes, Vegetable Oil, Salt",Protein,No,None,100g per day,Yes,Limited,No,Rich in fat and carbohydrates,Sugar-free Drinks,Healthy and natural alternatives,English,1,3,USA,7 days from packing
358,Cadbury Dairy Milk,Potatoes,Coca-Cola,Snacks,"Potatoes, Vegetable Oil, Salt",Protein,Yes,High Sodium,Moderate Intake,Yes (Occasional),Limited,Limited,High in calcium and protein,Baked Fries,Healthy and natural alternatives,English,2,3,Australia,7 days from packing
359,McCain French Fries,Carbonated Water,Britannia,Dairy Products,"Milk, Sugar, Culture",Carbohydrate,No,High Sodium,200g per day,Limited,No,Yes,Provides energy but may contribute to weight gain,Sugar-free Drinks,Healthy and natural alternatives,English,0,3,India,14 days from packing
360,Cadbury Dairy Milk,Milk,Coca-Cola,Dairy Products,"Flour, Butter, Sugar",Protein,No,None,As Desired,Yes,Yes,Yes,High in calcium and protein,Baked Fries,Healthy and natural alternatives,English,1,3,Australia,7 days from packing
361,Lay's Chips,Carbonated Water,Nestle,Confectionery,"Carbonated Water, Sugar",Fat,Yes,High Sodium,As Desired,Yes,No,Yes,Sweet treat with high sugar content,Organic Yogurt,Healthy and natural alternatives,English,0,2,Australia,7 days from packing
362,McCain French Fries,Milk Chocolate,Coca-Cola,Snacks,"Flour, Butter, Sugar",Sweetener,Yes,None,200g per day,No,No,Yes,Sweet treat with high sugar content,Sugar-free Drinks,Healthy and natural alternatives,English,2,3,Canada,7 days from packing
363,McCain French Fries,Milk,Haldiram's,Dairy Products,"Flour, Butter, Sugar",Carbohydrate,Yes,Chemical Additives,200g per day,Yes,Yes (Occasional),No,High sugar content with quick energy boost,Whole-grain Biscuits,Healthy and natural alternatives,English,2,3,Mexico,5 days from packing
364,McCain French Fries,Flour,Lay's,Confectionery,"Carbonated Water, Sugar",Additive,No,Chemical Additives,Moderate Intake,Yes (Occasional),Yes,No,High sugar content with quick energy boost,Sugar-free Drinks,Healthy and natural alternatives,English,0,2,India,7 days from packing
365,Britannia Biscuits,Potatoes,Nestle,Frozen Foods,"Flour, Butter, Sugar",Dairy,No,None,100g per day,Yes,Yes (Occasional),No,Sweet treat with high sugar content,Sugar-free Drinks,Healthy and natural alternatives,English,1,3,India,5 days from packing
366,Cadbury Dairy Milk,Flour,Lay's,Snacks,"Potatoes, Vegetable Oil, Salt",Protein,Yes,None,200g per day,Limited,Yes,No,Source of fiber and moderate sugar,Whole-grain Biscuits,Healthy and natural alternatives,English,2,3,Canada,7 days from packing
367,Coca-Cola Classic,Milk,Britannia,Frozen Foods,"Carbonated Water, Sugar",Carbohydrate,No,High Sodium,Moderate Intake,Yes (Occasional),Yes (Occasional),Limited,Provides energy but may contribute to weight gain,Whole-grain Biscuits,Healthy and natural alternatives,English,1,2,Mexico,14 days from packing
368,Epigamia Greek Yogurt,Potatoes,Lay's,Dairy Products,"Milk Chocolate, Sugar",Additive,No,High Sodium,100g per day,Yes (Occasional),No,Limited,Source of fiber and moderate sugar,Organic Yogurt,Healthy and natural alternatives,English,0,2,USA,7 days from packing
369,Lay's Chips,Milk Chocolate,Britannia,Snacks,"Milk Chocolate, Sugar",Dairy,No,Chemical Additives,200g per day,Limited,No,Limited,Rich in fat and carbohydrates,Organic Yogurt,Healthy and natural alternatives,English,1,2,Canada,7 days from packing
370,Cadbury Dairy Milk,Potatoes,Amul,Snacks,"Milk Chocolate, Sugar",Sweetener,No,None,Moderate Intake,No,No,No,High sugar content with quick energy boost,Organic Yogurt,Healthy and natural alternatives,English,0,2,Mexico,7 days from packing
371,McCain French Fries,Milk,Lay's,Beverages,"Carbonated Water, Sugar",Additive,Yes,None,Moderate Intake,Yes,Limited,Yes (Occasional),High in calcium and protein,Whole-grain Biscuits,Healthy and natural alternatives,English,0,2,Canada,7 days from packing
372,Britannia Biscuits,Potatoes,Haldiram's,Confectionery,"Flour, Butter, Sugar",Dairy,No,None,200g per day,Limited,Yes,Yes,Provides energy but may contribute to weight gain,Sugar-free Drinks,Healthy and natural alternatives,English,0,3,Canada,14 days from packing
373,Lay's Chips,Milk,Lay's,Snacks,"Milk, Sugar, Culture",Dairy,No,Allergen Content,200g per day,Yes (Occasional),Limited,Yes (Occasional),High in calcium and protein,Baked Fries,Healthy and natural alternatives,English,0,3,Canada,14 days from packing
